ime,oznaka,rang,cena,sprememba_1h,sprememba_24h,sprememba_7d,trzna_vrednost,obseg_24h,ponudba_v_obtoku
Mantle,MNT,34,1.056306204440933,-0.39164261,-0.04616906,53.70702389,3555309489.462996,354666508.4522523,3365794382.836841
NEAR Protocol,NEAR,35,2.807783073525885,0.2248915,4.78894754,17.96798368,3486846914.829848,193521350.3733348,1241850536.0
Pi,PI,36,0.42406091285233366,1.11649483,15.60001422,19.23525754,3312964365.034203,190914835.18377787,7812472842.050978
Ondo,ONDO,37,1.0465523602525058,-0.07245303,2.76028644,19.22316365,3306171440.7664113,165966904.17512274,3159107529.0
Aptos,APT,38,4.805136924105444,-0.45831395,3.4367651,15.61384132,3231307761.794714,191844949.03890404,672469445.2689869
Internet Computer,ICP,39,5.670108788465492,0.05911329,4.68579288,13.42397215,3040866419.4558396,87724376.89779224,536297720.7142427
OKB,OKB,40,46.97995533466053,0.14998148,1.98392858,1.08620168,2818797320.079632,8776173.99561687,60000000.0
POL (prev. MATIC),POL,41,0.248276815803213,0.16578277,2.16177644,26.79853654,2602324355.2758937,184080723.9373059,10481543944.63688
Kaspa,KAS,42,0.09577179948617866,0.08237952,4.44834736,16.46543176,2543289522.6209035,61564380.3028582,26555724506.23045
Pudgy Penguins,PENGU,43,0.03856943832056247,1.43164733,4.61094272,16.40577129,2424490169.800924,608497450.9575816,62860396090.04
Algorand,ALGO,44,0.2741100141547768,0.18797851,4.79278415,19.29369283,2385438625.4338527,115893047.71051882,8702486236.372631
Arbitrum,ARB,45,0.4628540161337714,-0.44215348,8.49041955,23.724613,2383809096.7968087,352699509.5253461,5150239630.0
Bonk,BONK,46,2.7306348649842133e-05,0.05203596,3.45158552,8.02968125,2197337631.688132,575699516.8961121,80469844572237.8
Cosmos,ATOM,47,4.740892271870098,-0.04969469,3.52369967,15.23618456,2183916535.450006,136805719.2650783,460655170.0
World Liberty Financial USD,USD1,48,1.0001878810387461,-0.00603006,0.00442239,0.11816147,2178822905.048871,555683523.3864628,2178413622.4346695
VeChain,VET,49,0.025198025309274927,0.14376792,3.72049045,13.08084397,2166653243.797093,50386496.91244375,85985041177.0
GateToken,GT,50,16.963695261752022,-0.05807708,1.33193922,1.56567052,2085017759.274755,12231121.29964568,122910588.0
Render,RENDER,51,3.984106076120662,-0.05588764,3.39395223,15.13663227,2064279977.0100548,67713396.9584548,518128769.05628264
Worldcoin,WLD,52,1.074758369025233,-0.06580842,4.9539403,13.68269684,1993336892.0092986,200638364.2755326,1854683759.1199062
OFFICIAL TRUMP,TRUMP,53,9.583441476533741,0.03219533,3.20204182,10.60647668,1916681521.7195024,314822966.0386648,199999293.198872
Sei,SEI,54,0.33145715416699223,-0.42182423,7.19493646,21.30346154,1916420815.207207,194208872.07723436,5781805555.0
Story,IP,55,6.42017632647692,-0.15546862,-1.74844755,9.63858271,1898814266.229609,79536224.25964065,295757339.0
Sky,SKY,56,0.08598991376895791,-0.23953568,0.85719446,10.23214291,1826305897.2855546,2069792.85369518,21238605985.727192
SPX6900,SPX,57,1.9410865782746887,1.00568574,9.59292763,29.56353235,1807138191.6013553,75691575.1167965,930993090.07
Filecoin,FIL,58,2.633891999655812,-0.03458214,4.57179374,14.79940643,1800859408.8710058,191542397.30605438,683725608.0
Artificial Superintelligence Alliance,FET,59,0.719666404634649,0.369459,3.40284009,15.25475615,1711381170.9273884,87369085.4827769,2378020093.6240735
Flare,FLR,60,0.02305755675466692,0.26442347,-0.45920324,4.66813711,1650596885.6520052,12356330.3650315,71585940488.59575
Jupiter,JUP,61,0.5251801661886968,-0.06495333,6.26467608,18.11004364,1606143913.9052713,63635174.08901473,3058272222.2000003
Four,FORM,62,4.034924387258381,0.1860222,3.10949775,6.84201463,1540805500.47826,10388074.80209349,381867255.144574
XDC Network,XDC,63,0.09175501971176653,-0.2139204,-0.92786375,0.21673785,1489297197.405518,39922308.37886622,16231234019.5
KuCoin Token,KCS,64,11.6467752898708,1.26902117,14.08062636,10.86883426,1484054629.218958,9649872.16409768,127421933.73556715
Injective,INJ,65,14.62985312672209,-0.11869744,3.48406325,18.61608883,1462560101.9893205,112491211.35230137,99970935.41
First Digital USD,FDUSD,66,0.9980853442915156,-0.00519816,0.02919633,0.04846518,1449684979.9739058,5941589563.232653,1452465952.200666
Quant,QNT,67,116.07240014902332,0.30362009,1.35640749,7.09101105,1401311676.0303195,16913680.83504752,12072738.0
Optimism,OP,68,0.7952515126202764,0.11154398,5.68314497,24.8596014,1393429218.2030604,284127213.0635995,1752186819.0
